flow,citing_loc_label,cited_loc_label,weight
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,SOCIAL SCIENCES,951
Internal,EDUCATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,907
Internal,POLITICAL SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,906
Internal,AGRICULTURE,EDUCATION,900
Internal,AGRICULTURE,POLITICAL SCIENCE,897
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,EDUCATION,896
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,POLITICAL SCIENCE,891
Internal,TECHNOLOGY,Multidisciplinary,868
Incoming,LANGUAGE AND LITERATURE,Others,863
Internal,TECHNOLOGY,SOCIAL SCIENCES,831
Incoming,Multidisciplinary,LANGUAGE AND LITERATURE,828
Internal,SOCIAL SCIENCES,TECHNOLOGY,799
Internal,TECHNOLOGY,EDUCATION,751
Internal,LANGUAGE AND LITERATURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,742
Internal,LANGUAGE AND LITERATURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,738
Internal,TECHNOLOGY,POLITICAL SCIENCE,734
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,LANGUAGE AND LITERATURE,731
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,LANGUAGE AND LITERATURE,723
Internal,EDUCATION,TECHNOLOGY,709
Internal,POLITICAL SCIENCE,TECHNOLOGY,698
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Multidisciplinary,668
Internal,SOCIAL SCIENCES,LANGUAGE AND LITERATURE,644
Internal,LANGUAGE AND LITERATURE,SOCIAL SCIENCES,632
Internal,LANGUAGE AND LITERATURE,LANGUAGE AND LITERATURE,614
Outgoing,FINE ARTS,SCIENCE,607
Internal,LANGUAGE AND LITERATURE,EDUCATION,606
Internal,LANGUAGE AND LITERATURE,POLITICAL SCIENCE,602
Internal,EDUCATION,LANGUAGE AND LITERATURE,602
Internal,POLITICAL SCIENCE,LANGUAGE AND LITERATURE,601
Internal,TECHNOLOGY,Others,598
Incoming,SCIENCE,LAW,585
Outgoing,SCIENCE,LAW,576
Internal,Multidisciplinary,GEOGRAPHY. ANTHROPOLOGY. RECREATION,569
Internal,AGRICULTURE,Others,553
Internal,AGRICULTURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,510
Outgoing,MEDICINE,LAW,501
Internal,Multidisciplinary,TECHNOLOGY,495
Internal,Others,TECHNOLOGY,468
Incoming,MEDICINE,LAW,421
Outgoing,FINE ARTS,MEDICINE,413
Incoming,AUXILIARY SCIENCES OF HISTORY,SCIENCE,407
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,AGRICULTURE,373
Incoming,FINE ARTS,MEDICINE,356
Incoming,GENERAL WORKS,MEDICINE,346
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Others,342
Incoming,LAW,MEDICINE,333
Internal,Others,AGRICULTURE,333
Internal,Others,GEOGRAPHY. ANTHROPOLOGY. RECREATION,327
Internal,TECHNOLOGY,PHILOSOPHY. PSYCHOLOGY. RELIGION,307
Internal,Others,SOCIAL SCIENCES,288
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,Multidisciplinary,278
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,TECHNOLOGY,264
Internal,SOCIAL SCIENCES,Others,257
