flow,citing_loc_label,cited_loc_label,weight
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Multidisciplinary,420
Internal,SOCIAL SCIENCES,Others,406
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,Multidisciplinary,388
Internal,Multidisciplinary,PHILOSOPHY. PSYCHOLOGY. RELIGION,386
Internal,TECHNOLOGY,POLITICAL SCIENCE,377
Internal,TECHNOLOGY,EDUCATION,377
Internal,Multidisciplinary,GEOGRAPHY. ANTHROPOLOGY. RECREATION,371
Internal,AGRICULTURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,349
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Others,347
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,AGRICULTURE,338
Internal,Others,GEOGRAPHY. ANTHROPOLOGY. RECREATION,337
Internal,AGRICULTURE,Others,320
Internal,Others,AGRICULTURE,302
Outgoing,SCIENCE,LAW,294
Internal,Multidisciplinary,TECHNOLOGY,274
Outgoing,MEDICINE,LAW,263
Internal,POLITICAL SCIENCE,Others,260
Internal,EDUCATION,Others,257
Outgoing,FINE ARTS,MEDICINE,256
Internal,TECHNOLOGY,PHILOSOPHY. PSYCHOLOGY. RELIGION,236
Internal,Others,POLITICAL SCIENCE,233
Internal,Others,PHILOSOPHY. PSYCHOLOGY. RELIGION,232
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,Others,231
Internal,Others,EDUCATION,230
